trade_id,timestamp,exchange,symbol,side,quantity,price_usd,fee_usd
TRD-0056,2025-11-18T22:40:00Z,Coinbase,BTC,BUY,0.03138514,111543.13,21.00
TRD-0057,2025-11-19T15:45:00Z,Coinbase,ETH,BUY,1.333486,3695.61,29.57
TRD-0058,2025-11-20T08:03:00Z,Coinbase,SOL,BUY,24.1420,194.265,28.14
TRD-0059,2025-11-21T01:08:00Z,Coinbase,CKB,SELL,737326,0.00564172,24.96
TRD-0060,2025-11-21T18:13:00Z,Coinbase,DOGE,BUY,27875.06,0.194856,32.59
TRD-0061,2025-11-24T09:18:00Z,Binance,BTC,BUY,0.02264584,108906.80,2.47
TRD-0062,2025-11-25T02:24:00Z,Binance,ETH,BUY,0.932197,3510.53,3.27
TRD-0063,2025-11-25T19:30:00Z,Binance,SOL,BUY,26.1486,181.146,4.74
TRD-0064,2025-11-26T12:36:00Z,Binance,CKB,BUY,864702,0.00543956,4.70
TRD-0065,2025-11-27T05:42:00Z,Binance,DOGE,BUY,21090.74,0.193507,4.08
TRD-0066,2025-11-27T22:01:00Z,Coinbase,BTC,BUY,0.01949498,107016.93,12.52
TRD-0067,2025-11-28T15:07:00Z,Coinbase,ETH,BUY,0.313596,3408.24,6.41
TRD-0068,2025-11-29T08:13:00Z,Coinbase,SOL,BUY,24.2629,176.216,25.65
TRD-0069,2025-11-30T01:19:00Z,Coinbase,CKB,BUY,723821,0.00542212,23.55
TRD-0070,2025-11-30T18:25:00Z,Coinbase,DOGE,BUY,22327.02,0.193558,25.93
TRD-0071,2025-12-03T09:21:00Z,Binance,BTC,SELL,0.11099277,103111.52,11.44
TRD-0072,2025-12-04T02:28:00Z,Binance,ETH,SELL,2.858423,3264.83,9.33
TRD-0073,2025-12-04T19:35:00Z,Binance,SOL,SELL,94.5473,172.047,16.27
TRD-0074,2025-12-05T12:42:00Z,Binance,CKB,SELL,1789690,0.00544972,9.75
TRD-0075,2025-12-06T05:02:00Z,Binance,DOGE,SELL,72313.81,0.191491,13.85
TRD-0076,2025-12-06T22:09:00Z,Coinbase,BTC,SELL,0.08990389,101030.20,54.50
TRD-0077,2025-12-07T15:16:00Z,Coinbase,ETH,SELL,4.245567,3217.54,81.96
TRD-0078,2025-12-08T08:23:00Z,Coinbase,SOL,SELL,68.9242,172.685,71.41
TRD-0079,2025-12-09T01:30:00Z,Coinbase,CKB,SELL,1589378,0.00551550,52.60
TRD-0080,2025-12-09T18:37:00Z,Coinbase,DOGE,SELL,74365.38,0.190184,84.86
TRD-0081,2025-12-12T09:24:00Z,Binance,BTC,BUY,0.00620282,97922.01,0.61
TRD-0082,2025-12-13T02:32:00Z,Binance,ETH,BUY,0.883902,3182.90,2.81
TRD-0083,2025-12-13T19:40:00Z,Binance,SOL,BUY,17.2899,175.099,3.03
TRD-0084,2025-12-14T12:01:00Z,Binance,CKB,BUY,822293,0.00556996,4.58
TRD-0085,2025-12-15T05:09:00Z,Binance,DOGE,BUY,15045.68,0.186609,2.81
TRD-0086,2025-12-15T22:17:00Z,Coinbase,BTC,BUY,0.02055424,96981.16,11.96
TRD-0087,2025-12-16T15:25:00Z,Coinbase,ETH,BUY,0.503655,3207.52,9.69
TRD-0088,2025-12-17T08:33:00Z,Coinbase,SOL,BUY,26.1105,178.121,27.90
TRD-0089,2025-12-18T01:41:00Z,Coinbase,CKB,BUY,921686,0.00560678,31.01
TRD-0090,2025-12-18T18:02:00Z,Coinbase,DOGE,BUY,25671.39,0.185724,28.61
TRD-0091,2025-12-21T09:27:00Z,Binance,BTC,BUY,0.00864094,96253.11,0.83
TRD-0092,2025-12-22T02:36:00Z,Binance,ETH,BUY,0.449583,3264.53,1.47
TRD-0093,2025-12-22T19:45:00Z,Binance,SOL,BUY,15.7910,181.332,2.86
TRD-0094,2025-12-23T12:07:00Z,Binance,CKB,BUY,828601,0.00560032,4.64
TRD-0095,2025-12-24T05:16:00Z,Binance,DOGE,BUY,22880.40,0.186060,4.26
TRD-0096,2025-12-24T22:25:00Z,Coinbase,BTC,BUY,0.00740985,96969.79,4.31
TRD-0097,2025-12-25T15:34:00Z,Coinbase,ETH,BUY,0.798668,3327.33,15.94
TRD-0098,2025-12-26T08:43:00Z,Coinbase,SOL,BUY,23.8089,183.525,26.22
TRD-0099,2025-12-27T01:05:00Z,Coinbase,CKB,BUY,478477,0.00562176,16.14
TRD-0100,2025-12-27T18:14:00Z,Coinbase,DOGE,BUY,18569.25,0.189911,21.16
TRD-0101,2025-12-30T09:30:00Z,Binance,BTC,SELL,0.00682812,98478.03,0.67
TRD-0102,2025-12-31T02:40:00Z,Binance,ETH,SELL,0.693412,3406.06,2.36
TRD-0103,2025-12-31T19:03:00Z,Binance,SOL,SELL,8.2702,184.880,1.53
TRD-0104,2026-01-01T12:13:00Z,Binance,CKB,SELL,528286,0.00567714,3.00
TRD-0105,2026-01-02T05:23:00Z,Binance,DOGE,SELL,20859.34,0.199889,4.17
TRD-0106,2026-01-02T22:33:00Z,Coinbase,BTC,SELL,0.01090599,100214.72,6.56
TRD-0107,2026-01-03T15:43:00Z,Coinbase,ETH,SELL,0.559998,3462.70,11.63
TRD-0108,2026-01-04T08:06:00Z,Coinbase,SOL,SELL,25.4588,186.436,28.48
TRD-0109,2026-01-05T01:16:00Z,Coinbase,CKB,SELL,532061,0.00580431,18.53
TRD-0110,2026-01-05T18:26:00Z,Coinbase,DOGE,SELL,13714.59,0.210388,17.31
TRD-0111,2026-01-08T09:33:00Z,Binance,BTC,BUY,0.03999608,102442.57,4.10
TRD-0112,2026-01-09T02:44:00Z,Binance,ETH,BUY,1.112453,3515.64,3.91
TRD-0113,2026-01-09T19:08:00Z,Binance,SOL,BUY,17.5761,188.912,3.32
TRD-0114,2026-01-10T12:19:00Z,Binance,CKB,BUY,574165,0.00610551,3.51
TRD-0115,2026-01-11T05:30:00Z,Binance,DOGE,BUY,13735.08,0.228792,3.14
TRD-0116,2026-01-11T22:41:00Z,Coinbase,BTC,BUY,0.02313868,104128.35,14.46
TRD-0117,2026-01-12T15:05:00Z,Coinbase,ETH,BUY,1.439767,3555.52,30.71
TRD-0118,2026-01-13T08:16:00Z,Coinbase,SOL,BUY,22.7967,192.819,26.37
TRD-0119,2026-01-14T01:27:00Z,Coinbase,CKB,BUY,314100,0.00641738,12.09
TRD-0120,2026-01-14T18:38:00Z,Coinbase,DOGE,BUY,13257.43,0.242349,19.28
TRD-0121,2026-01-17T09:36:00Z,Binance,BTC,SELL,0.01440351,105740.06,1.52
TRD-0122,2026-01-18T02:01:00Z,Binance,ETH,SELL,0.595858,3600.00,2.15
TRD-0123,2026-01-18T19:13:00Z,Binance,SOL,SELL,16.1069,200.920,3.24
TRD-0124,2026-01-19T12:25:00Z,Binance,CKB,SELL,475096,0.00696914,3.31
TRD-0125,2026-01-20T05:37:00Z,Binance,DOGE,SELL,8624.50,0.260278,2.24
TRD-0126,2026-01-20T22:02:00Z,Coinbase,BTC,SELL,0.02009839,106893.81,12.89
TRD-0127,2026-01-21T15:14:00Z,Coinbase,ETH,SELL,0.894657,3651.16,19.60
TRD-0128,2026-01-22T08:26:00Z,Coinbase,SOL,SELL,25.5189,209.041,32.01
TRD-0129,2026-01-23T01:38:00Z,Coinbase,CKB,SELL,531990,0.00738154,23.56
TRD-0130,2026-01-23T18:03:00Z,Coinbase,DOGE,SELL,20578.23,0.269983,33.33
TRD-0131,2026-01-26T09:39:00Z,Binance,BTC,BUY,0.00772780,107908.52,0.83
TRD-0132,2026-01-27T02:05:00Z,Binance,ETH,BUY,0.755358,3737.06,2.82
TRD-0133,2026-01-27T19:18:00Z,Binance,SOL,SELL,10.7747,222.603,2.40
TRD-0134,2026-01-28T12:31:00Z,Binance,CKB,SELL,342069,0.00793633,2.71
TRD-0135,2026-01-29T05:44:00Z,Binance,DOGE,BUY,6132.68,0.277819,1.70
TRD-0136,2026-01-29T22:10:00Z,Coinbase,BTC,BUY,0.01203704,108963.51,7.87
TRD-0137,2026-01-30T15:23:00Z,Coinbase,ETH,SELL,0.450602,3825.18,10.34
TRD-0138,2026-01-31T08:36:00Z,Coinbase,SOL,SELL,6.9562,232.594,9.71
TRD-0139,2026-02-01T01:02:00Z,Coinbase,CKB,BUY,184814,0.00823941,9.14
TRD-0140,2026-02-01T18:15:00Z,Coinbase,DOGE,BUY,6304.50,0.279340,10.57
TRD-0141,2026-02-04T09:42:00Z,Binance,BTC,BUY,0.02035098,110364.51,2.25
TRD-0142,2026-02-05T02:09:00Z,Binance,ETH,BUY,0.253937,3964.54,1.01
TRD-0143,2026-02-05T19:23:00Z,Binance,SOL,BUY,8.8813,245.081,2.18
TRD-0144,2026-02-06T12:37:00Z,Binance,CKB,BUY,588074,0.00848374,4.99
TRD-0145,2026-02-07T05:04:00Z,Binance,DOGE,BUY,16440.17,0.274475,4.51
TRD-0146,2026-02-07T22:18:00Z,Coinbase,BTC,BUY,0.01744065,111942.91,11.71
TRD-0147,2026-02-08T15:32:00Z,Coinbase,ETH,BUY,0.862399,4073.97,21.08
TRD-0148,2026-02-09T08:46:00Z,Coinbase,SOL,BUY,5.4033,251.589,8.16
TRD-0149,2026-02-10T01:13:00Z,Coinbase,CKB,BUY,229228,0.00852176,11.72
TRD-0150,2026-02-10T18:27:00Z,Coinbase,DOGE,BUY,13423.91,0.269146,21.68
TRD-0151,2026-02-13T09:45:00Z,Binance,BTC,SELL,0.06168699,114259.70,7.05
TRD-0152,2026-02-14T02:13:00Z,Binance,ETH,SELL,2.165963,4207.92,9.11
TRD-0153,2026-02-14T19:28:00Z,Binance,SOL,SELL,24.3865,255.090,6.22
TRD-0154,2026-02-15T12:43:00Z,Binance,CKB,SELL,1467682,0.00833477,12.23
TRD-0155,2026-02-16T05:11:00Z,Binance,DOGE,SELL,44750.17,0.257605,11.53
TRD-0156,2026-02-16T22:26:00Z,Coinbase,BTC,SELL,0.04957608,116265.58,34.58
TRD-0157,2026-02-17T15:41:00Z,Coinbase,ETH,SELL,1.699232,4284.56,43.68
TRD-0158,2026-02-18T08:09:00Z,Coinbase,SOL,SELL,20.1855,254.286,30.80
TRD-0159,2026-02-19T01:24:00Z,Coinbase,CKB,SELL,1064254,0.00812986,51.91
TRD-0160,2026-02-19T18:39:00Z,Coinbase,DOGE,SELL,42933.66,0.250767,64.60
TRD-0161,2026-02-22T09:01:00Z,Binance,BTC,BUY,0.02473909,118588.06,2.93
TRD-0162,2026-02-23T02:17:00Z,Binance,ETH,BUY,0.218505,4326.48,0.95
TRD-0163,2026-02-23T19:33:00Z,Binance,SOL,BUY,6.6458,246.428,1.64
TRD-0164,2026-02-24T12:02:00Z,Binance,CKB,BUY,278129,0.00768876,2.14
TRD-0165,2026-02-25T05:18:00Z,Binance,DOGE,BUY,18718.52,0.240710,4.51
TRD-0166,2026-02-25T22:34:00Z,Coinbase,BTC,BUY,0.03517559,120073.54,25.34
TRD-0167,2026-02-26T15:03:00Z,Coinbase,ETH,BUY,1.032072,4324.15,26.78
TRD-0168,2026-02-27T08:19:00Z,Coinbase,SOL,BUY,17.6689,239.426,25.38
TRD-0169,2026-02-28T01:35:00Z,Coinbase,CKB,BUY,375892,0.00741150,16.72
TRD-0170,2026-02-28T18:04:00Z,Coinbase,DOGE,BUY,19067.98,0.236448,27.05
TRD-0171,2026-03-03T09:04:00Z,Binance,BTC,BUY,0.01582702,120710.40,1.91
TRD-0172,2026-03-04T02:21:00Z,Binance,ETH,BUY,0.604268,4238.11,2.56
TRD-0173,2026-03-04T19:38:00Z,Binance,SOL,BUY,14.2700,225.453,3.22
TRD-0174,2026-03-05T12:08:00Z,Binance,CKB,BUY,611425,0.00700531,4.28
TRD-0175,2026-03-06T05:25:00Z,Binance,DOGE,BUY,22760.32,0.230611,5.25
TRD-0176,2026-03-06T22:42:00Z,Coinbase,BTC,BUY,0.03177210,120653.37,23.00
TRD-0177,2026-03-07T15:12:00Z,Coinbase,ETH,BUY,1.113866,4162.46,27.82
TRD-0178,2026-03-08T08:29:00Z,Coinbase,SOL,BUY,6.1630,217.187,8.03
TRD-0179,2026-03-09T01:46:00Z,Coinbase,CKB,BUY,445927,0.00681990,18.25
TRD-0180,2026-03-09T18:16:00Z,Coinbase,DOGE,BUY,15672.42,0.228271,21.47
TRD-0181,2026-03-12T09:07:00Z,Binance,BTC,SELL,0.02190569,118687.85,2.60
TRD-0182,2026-03-13T02:25:00Z,Binance,ETH,SELL,0.205693,3999.55,0.82
TRD-0183,2026-03-13T19:43:00Z,Binance,SOL,SELL,9.2029,205.181,1.89
TRD-0184,2026-03-14T12:14:00Z,Binance,CKB,SELL,240179,0.00659617,1.58
TRD-0185,2026-03-15T05:32:00Z,Binance,DOGE,SELL,19080.26,0.222902,4.25
TRD-0186,2026-03-15T22:03:00Z,Coinbase,BTC,SELL,0.03481279,117069.52,24.45
TRD-0187,2026-03-16T15:21:00Z,Coinbase,ETH,SELL,0.879834,3904.75,20.61
TRD-0188,2026-03-17T08:39:00Z,Coinbase,SOL,SELL,8.3411,200.019,10.01
TRD-0189,2026-03-18T01:10:00Z,Coinbase,CKB,SELL,271200,0.00651968,10.61
TRD-0190,2026-03-18T18:28:00Z,Coinbase,DOGE,SELL,15980.58,0.219135,21.01
TRD-0191,2026-03-21T09:10:00Z,Binance,BTC,BUY,0.00846168,113362.46,0.96
TRD-0192,2026-03-22T02:29:00Z,Binance,ETH,BUY,0.638167,3760.80,2.40
TRD-0193,2026-03-22T19:01:00Z,Binance,SOL,BUY,19.2321,193.920,3.73
TRD-0194,2026-03-23T12:20:00Z,Binance,CKB,BUY,384724,0.00639127,2.46
TRD-0195,2026-03-24T05:39:00Z,Binance,DOGE,BUY,10568.31,0.209838,2.22
TRD-0196,2026-03-24T22:11:00Z,Coinbase,BTC,BUY,0.01817220,111247.34,12.13
TRD-0197,2026-03-25T15:30:00Z,Coinbase,ETH,BUY,0.325547,3703.46,7.23
TRD-0198,2026-03-26T08:02:00Z,Coinbase,SOL,BUY,6.9285,192.204,7.99
TRD-0199,2026-03-27T01:21:00Z,Coinbase,CKB,BUY,362329,0.00632011,13.74
TRD-0200,2026-03-27T18:40:00Z,Coinbase,DOGE,BUY,12244.07,0.203389,14.94
